cohort_week,week_number,cohort_visitors,retained_visitors,retention_rate_pct
2015-05-04,0,71389,71389,100.0
2015-05-04,1,71389,3415,4.783650142178767
2015-05-04,2,71389,1988,2.784742747482105
2015-05-04,3,71389,1472,2.061942316043088
2015-05-04,4,71389,1169,1.6375071789771534
2015-05-04,5,71389,916,1.2831108434072476
2015-05-04,6,71389,910,1.274706187227724
2015-05-04,7,71389,808,1.1318270321758255
2015-05-04,8,71389,720,1.0085587415428148
2015-05-11,0,76662,76662,100.0
2015-05-11,1,76662,3262,4.25504161122851
2015-05-11,2,76662,1592,2.0766481438000572
2015-05-11,3,76662,1265,1.6501004408964024
2015-05-11,4,76662,926,1.2078996112806866
2015-05-11,5,76662,850,1.108763142104302
2015-05-11,6,76662,766,0.9991912551198768
2015-05-11,7,76662,635,0.8283112885132139
2015-05-11,8,76662,704,0.918316767107563
2015-05-18,0,78427,78427,100.0
2015-05-18,1,78427,2721,3.469468422864575
2015-05-18,2,78427,1501,1.913881698904714
2015-05-18,3,78427,999,1.2737960141277875
2015-05-18,4,78427,881,1.1233376260726535
2015-05-18,5,78427,786,1.0022058729774186
2015-05-18,6,78427,658,0.8389967740701544
2015-05-18,7,78427,658,0.8389967740701544
2015-05-18,8,78427,599,0.7637675800425874
2015-05-25,0,73231,73231,100.0
2015-05-25,1,73231,2464,3.364695279321599
2015-05-25,2,73231,1178,1.6086083762341086
2015-05-25,3,73231,897,1.224891098032254
2015-05-25,4,73231,762,1.0405429394655268
2015-05-25,5,73231,648,0.8848711611202906
2015-05-25,6,73231,625,0.8534636970681815
2015-05-25,7,73231,558,0.7619723887424724
2015-05-25,8,73231,559,0.7633379306577815
2015-06-01,0,72714,72714,100.0
2015-06-01,1,72714,2436,3.3501113953296477
2015-06-01,2,72714,1295,1.7809500233792668
2015-06-01,3,72714,920,1.265230904640097
2015-06-01,4,72714,717,0.9860549550292929
2015-06-01,5,72714,689,0.9475479274967682
2015-06-01,6,72714,620,0.8526556096487609
2015-06-01,7,72714,561,0.7715158016337982
2015-06-01,8,72714,475,0.6532442170696152
2015-06-08,0,66586,66586,100.0
2015-06-08,1,66586,2273,3.4136304928964045
2015-06-08,2,66586,1102,1.655002553089238
2015-06-08,3,66586,775,1.1639083290781846
2015-06-08,4,66586,721,1.0828102003424143
2015-06-08,5,66586,552,0.8290030937434295
2015-06-08,6,66586,536,0.8049740185624605
2015-06-08,7,66586,430,0.6457813954885412
2015-06-08,8,66586,374,0.5616796323551497
2015-06-15,0,69757,69757,100.0
2015-06-15,1,69757,2322,3.3286981951632093
2015-06-15,2,69757,1142,1.6371116877159282
2015-06-15,3,69757,939,1.346101466519489
2015-06-15,4,69757,709,1.016385452356036
2015-06-15,5,69757,628,0.9002680734549937
2015-06-15,6,69757,483,0.6924036297432515
2015-06-15,7,69757,458,0.6565649325515719
2015-06-15,8,69757,402,0.5762862508422094
2015-06-22,0,68400,68400,100.0
2015-06-22,1,68400,2296,3.3567251461988303
2015-06-22,2,68400,1166,1.7046783625730995
2015-06-22,3,68400,816,1.1929824561403508
2015-06-22,4,68400,701,1.0248538011695907
2015-06-22,5,68400,515,0.7529239766081871
2015-06-22,6,68400,459,0.6710526315789473
2015-06-22,7,68400,381,0.5570175438596491
2015-06-22,8,68400,378,0.5526315789473685
2015-06-29,0,68147,68147,100.0
2015-06-29,1,68147,2332,3.422014175238822
2015-06-29,2,68147,1136,1.6669846068058756
2015-06-29,3,68147,860,1.2619777833213495
2015-06-29,4,68147,631,0.9259395131113622
2015-06-29,5,68147,536,0.7865349905351666
2015-06-29,6,68147,448,0.657402380148796
2015-06-29,7,68147,374,0.5488135941420752
2015-06-29,8,68147,359,0.5268023537353075
2015-07-06,0,83944,83944,100.0
2015-07-06,1,83944,2307,2.7482607452587438
2015-07-06,2,83944,1222,1.4557323930239208
2015-07-06,3,83944,763,0.9089392928619079
2015-07-06,4,83944,620,0.7385876298484704
2015-07-06,5,83944,490,0.5837224816544363
2015-07-06,6,83944,425,0.5062899075574192
2015-07-06,7,83944,438,0.5217764223768226
2015-07-06,8,83944,345,0.41098827789955206
2015-07-13,0,80563,80563,100.0
2015-07-13,1,80563,2378,2.9517272196914215
2015-07-13,2,80563,1042,1.293397713590606
2015-07-13,3,80563,719,0.8924692476695257
2015-07-13,4,80563,539,0.6690416196020506
2015-07-13,5,80563,504,0.6255973585889304
2015-07-13,6,80563,458,0.5684991869716868
2015-07-13,7,80563,388,0.4816106649454464
2015-07-13,8,80563,408,0.5064359569529436
2015-07-20,0,88261,88261,100.0
2015-07-20,1,88261,2792,3.163345078800376
2015-07-20,2,88261,1101,1.247436580142985
2015-07-20,3,88261,777,0.8803435265859213
2015-07-20,4,88261,645,0.7307870973589694
2015-07-20,5,88261,543,0.6152207656835975
2015-07-20,6,88261,457,0.517782486035735
2015-07-20,7,88261,509,0.5766986551251402
2015-07-27,0,73190,73190,100.0
2015-07-27,1,73190,1909,2.608279819647493
2015-07-27,2,73190,872,1.191419592840552
2015-07-27,3,73190,705,0.963246345129116
2015-07-27,4,73190,584,0.7979232135537642
2015-07-27,5,73190,484,0.6612925263014073
2015-07-27,6,73190,451,0.6162043995081296
2015-08-03,0,67081,67081,100.0
2015-08-03,1,67081,1783,2.6579806502586427
2015-08-03,2,67081,865,1.2894858454704015
2015-08-03,3,67081,620,0.9242557505105767
2015-08-03,4,67081,515,0.7677285669563662
2015-08-03,5,67081,561,0.8363023807039252
2015-08-10,0,64291,64291,100.0
2015-08-10,1,64291,1906,2.9646451291782676
2015-08-10,2,64291,878,1.3656654897264002
2015-08-10,3,64291,546,0.8492635050006999
2015-08-10,4,64291,549,0.8539297879952092
2015-08-17,0,65264,65264,100.0
2015-08-17,1,65264,1927,2.9526231919588133
2015-08-17,2,65264,907,1.3897401323853886
2015-08-17,3,65264,720,1.103211571463594
2015-08-24,0,65333,65333,100.0
2015-08-24,1,65333,1828,2.7979734590482606
2015-08-24,2,65333,935,1.431129750661993
2015-08-31,0,62329,62329,100.0
2015-08-31,1,62329,1922,3.0836368303678867
2015-09-07,0,71205,71205,100.0
